index,glyph_id,key_hex,key_bytes,char,source,reserved,unicode
353,0x160,0xF194,F194,努,private,0,U+52AA
354,0x161,0xF195,F195,励,private,0,U+52B1
355,0x162,0xF196,F196,劲,private,0,U+52B2
356,0x163,0xF197,F197,劳,private,0,U+52B3
357,0x164,0xF198,F198,势,private,0,U+52BF
358,0x165,0xF199,F199,勃,private,0,U+52C3
359,0x166,0xF19A,F19A,勇,private,0,U+52C7
360,0x167,0xF19B,F19B,勉,private,0,U+52C9
361,0x168,0xF19C,F19C,勒,private,0,U+52D2
362,0x169,0xF19D,F19D,募,private,0,U+52DF
363,0x16A,0xF19E,F19E,勤,private,0,U+52E4
364,0x16B,0xF19F,F19F,勾,private,0,U+52FE
365,0x16C,0xF1A0,F1A0,匀,private,0,U+5300
366,0x16D,0xF1A1,F1A1,包,private,0,U+5305
367,0x16E,0xF1A2,F1A2,匆,private,0,U+5306
368,0x16F,0xF1A3,F1A3,化,private,0,U+5316
369,0x170,0xF1A4,F1A4,北,private,0,U+5317
370,0x171,0xF1A5,F1A5,匹,private,0,U+5339
371,0x172,0xF1A6,F1A6,区,private,0,U+533A
372,0x173,0xF1A7,F1A7,医,private,0,U+533B
373,0x174,0xF1A8,F1A8,十,private,0,U+5341
374,0x175,0xF1A9,F1A9,千,private,0,U+5343
375,0x176,0xF1AA,F1AA,升,private,0,U+5347
376,0x177,0xF1AB,F1AB,午,private,0,U+5348
377,0x178,0xF1AC,F1AC,卉,private,0,U+5349
378,0x179,0xF1AD,F1AD,半,private,0,U+534A
379,0x17A,0xF1AE,F1AE,华,private,0,U+534E
380,0x17B,0xF1AF,F1AF,协,private,0,U+534F
381,0x17C,0xF1B0,F1B0,卑,private,0,U+5351
382,0x17D,0xF1B1,F1B1,单,private,0,U+5355
383,0x17E,0xF1B2,F1B2,卖,private,0,U+5356
384,0x17F,0xF1B3,F1B3,南,private,0,U+5357
385,0x180,0xF1B4,F1B4,博,private,0,U+535A
386,0x181,0xF1B5,F1B5,卜,private,0,U+535C
387,0x182,0xF1B6,F1B6,卟,private,0,U+535F
388,0x183,0xF1B7,F1B7,占,private,0,U+5360
389,0x184,0xF1B8,F1B8,卡,private,0,U+5361
390,0x185,0xF1B9,F1B9,卧,private,0,U+5367
391,0x186,0xF1BA,F1BA,卫,private,0,U+536B
392,0x187,0xF1BB,F1BB,印,private,0,U+5370
393,0x188,0xF1BC,F1BC,危,private,0,U+5371
394,0x189,0xF1BD,F1BD,即,private,0,U+5373
395,0x18A,0xF1BE,F1BE,却,private,0,U+5374
396,0x18B,0xF1BF,F1BF,卵,private,0,U+5375
397,0x18C,0xF1C0,F1C0,卷,private,0,U+5377
398,0x18D,0xF1C1,F1C1,厂,private,0,U+5382
399,0x18E,0xF1C2,F1C2,厅,private,0,U+5385
400,0x18F,0xF1C3,F1C3,历,private,0,U+5386
401,0x190,0xF1C4,F1C4,厉,private,0,U+5389
402,0x191,0xF1C5,F1C5,压,private,0,U+538B
403,0x192,0xF1C6,F1C6,厌,private,0,U+538C
404,0x193,0xF1C7,F1C7,厕,private,0,U+5395
405,0x194,0xF1C8,F1C8,厚,private,0,U+539A
